query,_id,_score,name,symbol,entrezgene,notfound
ENSG00000223972,ENSG00000223972,10.6145735,DEAD/H-box helicase 11 like 1 (pseudogene),DDX11L1,,
ENSG00000227232,ENSG00000227232,10.614576,"WASP family homolog 7, pseudogene",WASH7P,,
ENSG00000278267,102466751,32.905167,microRNA 6859-1,MIR6859-1,102466751,
ENSG00000243485,ENSG00000243485,32.905178,MIR1302-2 host gene,MIR1302-2HG,,
ENSG00000274890,,,,,,True
ENSG00000237613,645520,32.905186,family with sequence similarity 138 member A,FAM138A,645520,
ENSG00000268020,79504,10.614574,olfactory receptor family 4 subfamily G member 4 pseudogene,OR4G4P,79504,
ENSG00000240361,403263,10.614576,olfactory receptor family 4 subfamily G member 11 pseudogene,OR4G11P,403263,
ENSG00000186092,79501,31.898127,olfactory receptor family 4 subfamily F member 5,OR4F5,79501,
ENSG00000238009,,,,,,True
ENSG00000239945,ENSG00000239945,32.905174,,,,
ENSG00000233750,100420257,10.6145735,capicua transcriptional repressor pseudogene 27,CICP27,100420257,
ENSG00000268903,ENSG00000268903,32.905167,,,,
ENSG00000269981,ENSG00000269981,32.905186,,,,
ENSG00000239906,ENSG00000239906,32.905178,,,,
ENSG00000241860,ENSG00000241860,32.905178,,,,
ENSG00000222623,124906683,32.905186,U6 spliceosomal RNA,LOC124906683,124906683,
ENSG00000241599,ENSG00000241599,32.905186,,,,
ENSG00000279928,ENSG00000279928,10.614573,DEAD/H-box helicase 11 like 17 (pseudogene),DDX11L17,,
ENSG00000279457,ENSG00000279457,10.6145735,"WAS protein family homolog 9, pseudogene",WASH9P,,
ENSG00000273874,102465909,32.905167,microRNA 6859-2,MIR6859-2,102465909,
ENSG00000275135,,,,,,True
ENSG00000228463,728481,10.614574,ribosomal protein L23a pseudogene 21,RPL23AP21,728481,
ENSG00000241670,,,,,,True
ENSG00000236679,728517,10.614576,ribosomal protein L23a pseudogene 24,RPL23AP24,728517,
ENSG00000236743,,,,,,True
ENSG00000236601,ENSG00000236601,32.905174,,,,
ENSG00000237094,ENSG00000237094,32.905178,,,,
ENSG00000269732,ENSG00000269732,10.614571,WBP1L pseudogene 7,WBP1LP7,,
ENSG00000278566,,,,,,True
ENSG00000224813,,,,,,True
ENSG00000233653,ENSG00000233653,10.614574,capicua transcriptional repressor pseudogene 7,CICP7,,
ENSG00000250575,ENSG00000250575,32.905186,,,,
ENSG00000278757,124904706,32.905186,U6 spliceosomal RNA,LOC124904706,124904706,
ENSG00000230021,ENSG00000230021,32.905174,,,,
ENSG00000235146,ENSG00000235146,32.905178,,,,
ENSG00000225972,100887749,10.614571,MT-ND1 pseudogene 23,MTND1P23,100887749,
ENSG00000225630,100652939,10.614576,MT-ND2 pseudogene 28,MTND2P28,100652939,
ENSG00000276171,,,,,,True
ENSG00000237973,107075141,10.614574,MT-CO1 pseudogene 12,MTCO1P12,107075141,
ENSG00000278791,ENSG00000278791,32.905186,,,,
ENSG00000229344,107075310,10.289717,MT-CO2 pseudogene 12,MTCO2P12,107075310,
ENSG00000240409,106480795,10.614574,MT-ATP8 pseudogene 1,MTATP8P1,106480795,
ENSG00000248527,106480796,10.614574,MT-ATP6 pseudogene 1,MTATP6P1,106480796,
ENSG00000198744,107075270,10.614574,MT-CO3 pseudogene 12,MTCO3P12,107075270,
ENSG00000268663,ENSG00000268663,10.614574,WBP1L pseudogene 6,WBP1LP6,,
ENSG00000273547,,,,,,True
ENSG00000229376,ENSG00000229376,10.614574,capicua transcriptional repressor pseudogene 3,CICP3,,
ENSG00000228327,ENSG00000228327,32.905178,,,,
ENSG00000223181,106480091,10.614576,"RNA, U6 small nuclear 1199, pseudogene",RNU6-1199P,106480091,
ENSG00000229905,ENSG00000229905,32.905186,,,,
ENSG00000237491,105378580,32.905186,long intergenic non-protein coding RNA 1409,LINC01409,105378580,
ENSG00000230092,ENSG00000230092,32.905186,,,,
ENSG00000177757,400728,32.905186,family with sequence similarity 87 member B,FAM87B,400728,
ENSG00000228794,643837,32.905186,long intergenic non-protein coding RNA 1128,LINC01128,643837,
ENSG00000225880,ENSG00000225880,32.905186,long intergenic non-protein coding RNA 115,LINC00115,,
ENSG00000230368,284593,32.905186,family with sequence similarity 41 member C,FAM41C,284593,
ENSG00000234711,388579,10.614576,tubulin beta 8 class VIII pseudogene 11,TUBB8P11,388579,
ENSG00000283040,ENSG00000283040,32.905186,,,,
ENSG00000272438,ENSG00000272438,32.905186,,,,
ENSG00000230699,,,,,,True
ENSG00000241180,,,,,,True
ENSG00000223764,100130417,32.905178,long intergenic non-protein coding RNA 2593,LINC02593,100130417,
ENSG00000187634,148398,32.905186,sterile alpha motif domain containing 11,SAMD11,148398,
ENSG00000188976,26155,31.898125,NOC2 like nucleolar associated transcriptional repressor,NOC2L,26155,
ENSG00000187961,339451,31.898127,kelch like family member 17,KLHL17,339451,
ENSG00000277294,,,,,,True
ENSG00000187583,84069,32.905174,pleckstrin homology domain containing N1,PLEKHN1,84069,
ENSG00000187642,84808,32.905174,"PPARGC1 and ESRR induced regulator, muscle 1",PERM1,84808,
ENSG00000272512,ENSG00000272512,32.905178,,,,
ENSG00000188290,57801,31.898115,hes family bHLH transcription factor 4,HES4,57801,
ENSG00000187608,9636,31.89811,ISG15 ubiquitin like modifier,ISG15,9636,
ENSG00000231702,ENSG00000231702,32.905167,,,,
ENSG00000224969,ENSG00000224969,32.905178,,,,
ENSG00000188157,375790,31.234789,agrin,AGRN,375790,
ENSG00000242590,ENSG00000242590,32.905186,,,,
ENSG00000217801,ENSG00000217801,10.614576,"protein tyrosine phosphatase non-receptor type 11B, pseudogene",PTPN11BP,,
ENSG00000273443,ENSG00000273443,32.905174,,,,
ENSG00000237330,401934,31.898115,ring finger protein 223,RNF223,401934,
ENSG00000131591,54991,32.905178,chromosome 1 open reading frame 159,C1orf159,54991,
ENSG00000223823,254099,32.905178,long intergenic non-protein coding RNA 1342,LINC01342,254099,
ENSG00000207730,406984,32.905167,microRNA 200b,MIR200B,406984,
ENSG00000207607,406983,32.905167,microRNA 200a,MIR200A,406983,
ENSG00000198976,554210,32.905178,microRNA 429,MIR429,554210,
ENSG00000272141,ENSG00000272141,32.905178,,,,
ENSG00000205231,100506376,32.905186,TTLL10 antisense RNA 1,TTLL10-AS1,100506376,
ENSG00000162571,254173,31.898127,tubulin tyrosine ligase like 10,TTLL10,254173,
ENSG00000186891,8784,31.898115,TNF receptor superfamily member 18,TNFRSF18,8784,
ENSG00000186827,7293,31.898115,TNF receptor superfamily member 4,TNFRSF4,7293,
ENSG00000078808,51150,31.898115,stromal cell derived factor 4,SDF4,51150,
ENSG00000176022,126792,31.89811,"beta-1,3-galactosyltransferase 6",B3GALT6,126792,
ENSG00000184163,388581,31.898115,C1q and TNF related 12,C1QTNF12,388581,
ENSG00000260179,ENSG00000260179,32.905167,,,,
ENSG00000160087,118424,31.89812,ubiquitin conjugating enzyme E2 J2,UBE2J2,118424,
ENSG00000230415,ENSG00000230415,32.905186,long intergenic non-protein coding RNA 1786,LINC01786,,
ENSG00000162572,6339,31.898125,sodium channel epithelial 1 subunit delta,SCNN1D,6339,
ENSG00000131584,116983,31.898115,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3,116983,
ENSG00000278073,102465434,32.905178,microRNA 6726,MIR6726,102465434,
ENSG00000169972,126789,31.89811,pseudouridine synthase like 1,PUSL1,126789,
ENSG00000127054,54973,31.89812,integrator complex subunit 11,INTS11,54973,
ENSG00000274153,,,,,,True
ENSG00000240731,ENSG00000240731,32.905186,,,,
ENSG00000224051,80772,31.898127,ceramide-1-phosphate transfer protein,CPTP,80772,
ENSG00000169962,83756,31.898127,taste 1 receptor member 3,TAS1R3,83756,
ENSG00000107404,1855,32.905186,dishevelled segment polarity protein 1,DVL1,1855,
ENSG00000275884,,,,,,True
ENSG00000162576,54587,32.905174,matrix remodeling associated 8,MXRA8,54587,
ENSG00000175756,54998,31.898127,aurora kinase A interacting protein 1,AURKAIP1,54998,
