,id_list,gene_list,name,description,aggregate
49e43d68-939b-11ea-aaef-0ac135e8bacf,ENSG00000241563 ENSG00000181773 ENSG00000116133 ENSG00000134247 ENSG00000117362 ENSG00000185499 ENSG00000198400 ENSG00000162736 ENSG00000152061 ENSG00000133069 ENSG00000092969 ENSG00000143801 ENSG00000138095 ENSG00000121966 ENSG00000138449 ENSG00000172020 ENSG00000082701 ENSG00000163902 ENSG00000157005 ENSG00000197386 ENSG00000163956 ENSG00000168421 ENSG00000163697 ENSG00000145283 ENSG00000145335 ENSG00000182168 ENSG00000168785 ENSG00000171497 ENSG00000171368 ENSG00000142319 ENSG00000064692 ENSG00000113558 ENSG00000113108 ENSG00000183775 ENSG00000156475 ENSG00000113758 ENSG00000124788 ENSG00000137312 ENSG00000204388 ENSG00000095970 ENSG00000197442 ENSG00000130396 ENSG00000106536 ENSG00000106089 ENSG00000106333 ENSG00000105835 ENSG00000158457 ENSG00000008056 ENSG00000078596 ENSG00000123560 ENSG00000168484 ENSG00000277586 ENSG00000120885 ENSG00000147955 ENSG00000107282 ENSG00000136854 ENSG00000177697 ENSG00000110651 ENSG00000166313 ENSG00000121653 ENSG00000213619 ENSG00000137642 ENSG00000084234 ENSG00000099282 ENSG00000166228 ENSG00000108219 ENSG00000171862 ENSG00000119917 ENSG00000119912 ENSG00000150593 ENSG00000165868 ENSG00000010278 ENSG00000059804 ENSG00000188906 ENSG00000139644 ENSG00000123384 ENSG00000133858 ENSG00000136156 ENSG00000092330 ENSG00000080815 ENSG00000170348 ENSG00000170345 ENSG00000197102 ENSG00000034053 ENSG00000175344 ENSG00000167004 ENSG00000137845 ENSG00000169783 ENSG00000198736 ENSG00000140632 ENSG00000103365 ENSG00000257017 ENSG00000258947 ENSG00000132535 ENSG00000220205 ENSG00000132589 ENSG00000108578 ENSG00000196712 ENSG00000030582 ENSG00000186868 ENSG00000064300 ENSG00000177885 ENSG00000118271 ENSG00000171867 ENSG00000132639 ENSG00000125848 ENSG00000198959 ENSG00000101040 ENSG00000124214 ENSG00000105401 ENSG00000130164 ENSG00000130159 ENSG00000105607 ENSG00000179218 ENSG00000051128 ENSG00000205155 ENSG00000105290 ENSG00000105329 ENSG00000105404 ENSG00000130203 ENSG00000131042 ENSG00000128245 ENSG00000100083 ENSG00000100380 ENSG00000142192 ENSG00000210082 ENSG00000198888 ENSG00000198938 ENSG00000198840,"APP695 SORL1 APP751 APP APP C99 APP Amyloid-beta protein 42 SNCA ADAM10 PSEN1 APOE APP Amyloid-beta protein 40 PSEN2 DBN1 TSPAN5 TSPAN15 PTGFRN CD81 TSPAN14 CD9 TSPAN33 CD151 BACE Collagen type XXV trimer, variant 3 TPPP TUBB3 UNC5C CHRNA7 MAPT ZMYND8 PLP1 FLRT3 KCTD16 APBB1 STAU1 TTR APBA2 TREM2 NCSTN MSRB1 CLU36 LINGO1 ITM2B SNAP25 STX1A VAMP2 LRP1 LDLR PRNP GGA1 GAP43 RPN1 APBB2 DHCR24 SIGMAR1 LRPPRC TMED10 SKP1 TIAF1 ATXN1 SST CORT MT-RNR2 APBB3 ZFC3H1 MAPK8IP1 APBA1 FLOT2 STXBP1 SLC2A3 HSPA12A GGA2 NTRK1 SNCAIP Sortilin TMBIM6 PSENEN APH1A PPID GSK3B MAPT Isoform Tau-F HSPA1B SLC40A1 ABL1 Isoform IA ABL1 Isoform IB LRPAP1 SNCAIP APOE-processed SNCA Isoform NACP140 TINF2 Collagen type XXV trimer, variant 1 MT-ND1 PSEN1 Isoform I-463 SLC10A6 PDIA3 MAP3K5 NEFL HOMER3 TGM2 FLOT1 NAMPT APLP1 APLP2 HP MT-ND3 NGFR NF1 ITM2A BLMH CALR BACE-1A HTT CXCR4 DBN1 Isoform E PTEN AFDN SYN1 SLC6A3 GPR3 APBA1 Isoform Mint1_826 MT-CO3 PCOLCE RABAC1 TGFB1 TGFB2 LRRK2 ECSIT NDUFS3 GRN PITRM1 Isoform 1 SFTPC CLU SNCAIP Isoform 1A IDE FOS PCBD1 DLG4 PDCD4 IFIT3 CDC37 ST13 GCDH DYNC1H1 TMCC2 YWHAH GRB2 RABGAP1L PPP2R2B LILRB2 RHOH GLYR1 APP305 MUC1 POU6F2",AD network,AD network,
2098de1c-a927-11eb-9e72-0ac135e8bacf,ENSG00000130939 ENSG00000154305 ENSG00000143801 ENSG00000138449 ENSG00000123983 ENSG00000197386 ENSG00000118785 ENSG00000124788 ENSG00000213719 ENSG00000177666 ENSG00000136156 ENSG00000140043 ENSG00000066427 ENSG00000140545 ENSG00000169710 ENSG00000079432 ENSG00000130203 ENSG00000039650 ENSG00000142192,MFGE8 APOE APP MIA3 SPP1 PNPLA2 PSEN2 FASN HTT PNKP ATXN1 ATXN3 UBE4B CLIC1 SLC40A1 ACSL3 CIC ITM2B PTGR2,neurodegen-autophagy,neurodegeneration genes adjacent to autophagy ppi,
eedec451-d9b7-11e9-bb65-0ac135e8bacf,ENSG00000187605 ENSG00000168769 ENSG00000106258 ENSG00000160870 ENSG00000160868 ENSG00000021461 ENSG00000138336 ENSG00000138109 ENSG00000138115 ENSG00000100601 ENSG00000140505 ENSG00000140718 ENSG00000100197,TET2 FTO TET3 TET1 CYP1A2 CYP2D6 CYP3A4 CYP2C8 CYP2C9 CYP3A5 CYP3A43 ALKBH1 CYP3A7,oxidative demethylation,GO:0070989 (oxidative demethylation),
09f15eff-84ab-11ec-b3be-0ac135e8bacf,ENSG00000233954 ENSG00000173660 ENSG00000116459 ENSG00000158864 ENSG00000143252 ENSG00000168275 ENSG00000135940 ENSG00000178074 ENSG00000023228 ENSG00000130414 ENSG00000169020 ENSG00000073578 ENSG00000145494 ENSG00000127184 ENSG00000164405 ENSG00000135537 ENSG00000172115 ENSG00000146729 ENSG00000241468 ENSG00000102125 ENSG00000156467 ENSG00000179091 ENSG00000165264 ENSG00000122696 ENSG00000213619 ENSG00000167985 ENSG00000204922 ENSG00000167792 ENSG00000110717 ENSG00000204370 ENSG00000167283 ENSG00000165629 ENSG00000110955 ENSG00000184752 ENSG00000111775 ENSG00000180389 ENSG00000137806 ENSG00000178741 ENSG00000156885 ENSG00000131143 ENSG00000172171 ENSG00000167863 ENSG00000178127 ENSG00000152234 ENSG00000131055 ENSG00000124172 ENSG00000099624 ENSG00000115286 ENSG00000267855 ENSG00000169021 ENSG00000250479 ENSG00000184076 ENSG00000226085 ENSG00000154723 ENSG00000241837 ENSG00000160194 ENSG00000198888 ENSG00000198763 ENSG00000198804 ENSG00000198712 ENSG00000228253 ENSG00000198899 ENSG00000198938 ENSG00000198840 ENSG00000198886 ENSG00000198786 ENSG00000198695 ENSG00000198727,"MT-ND2 MT-ATP6 CHCHD10 NDUFA10 NDUFA7 MT-ND5 COX6A1 NDUFS2 CYC1 SLC25A51 NDUFS6 UQCRHL UQCC3 COX4I1 ATP5MF MT-ND1 UQCRFS1 SDHAF2 C2orf69 MT-ND3 ATP5F1B COX5B NDUFAF1 ATP5MG ATP5F1EP2 CYCS COX4I2 SDHC NDUFV1 NDUFS8 UQCRFS1P1 NDUFS1 ATP5PB TEFM UQCRH NDUFV3 SDHA ATP5F1D UQCRQ ATP5ME AFG1L ATP5F1C UQCRB TAFAZZIN COX5A SDHD MT-CO2 NIPSNAP2 MT-ATP8 MT-ND4 COX6A2 ATP5PO NDUFV2 NDUFS3 High potential iron-sulphur protein NADH dehydrogenase subunit 2, C-terminal MT-CYB ATP5PF NDUFA12 MT-CO3 NDUFB6 ATP5F1E COX7C MT-ND6 NDUFS7 UQCR10 MT-CO1 ATP5F1A ATP5PD COA6",oxidative phosphorylation,GO:0006119 (oxidative phosphorylation),
e5f038e8-bf17-11ea-aaef-0ac135e8bacf,ENSG00000166199 ENSG00000100601 ENSG00000140718 ENSG00000091542,FTO ALKBH5 ALKBH3 ALKBH1,oxidative RNA demethylation,GO:0035513 (oxidative RNA demethylation),
d49b187c-9ba4-11ee-8a13-005056ae23aa,ENSG00000198793 ENSG00000164327 ENSG00000187840 ENSG00000155792 ENSG00000137154 ENSG00000119487 ENSG00000170946 ENSG00000135362 ENSG00000142208 ENSG00000167965 ENSG00000068120 ENSG00000108443 ENSG00000141564 ENSG00000124126 ENSG00000204673 ENSG00000186654,AKT1 EIF4EBP1 MAPKAP1 MTOR RICTOR RPS6KB1 AKT1S1 RPTOR COASY DEPTOR DNAJC24 MLST8 PRR5L RPS6 PREX1 PRR5,AKT/MTOR pathway I,AKT/MTOR pathway I,
ac88cce0-7dcf-11ea-aaef-0ac135e8bacf,ENSG00000158828 ENSG00000213190 ENSG00000153094 ENSG00000168958 ENSG00000121858 ENSG00000030110 ENSG00000164850 ENSG00000002330 ENSG00000108179 ENSG00000176171 ENSG00000087470 ENSG00000135116 ENSG00000165943 ENSG00000104081 ENSG00000103490 ENSG00000141510 ENSG00000141682 ENSG00000100985 ENSG00000105185 ENSG00000011422 ENSG00000105327 ENSG00000087088 ENSG00000015475 ENSG00000184381 ENSG00000100290,TNFSF10 TP53 BBC3 DNM1L PMAIP1 BAX PINK1 PDCD5 PPIF BAD BCL2L11 BID BIK BAK1 BMF BNIP3 MMP9 PYCARD GPER1 PLAUR MFF MOAP1 MLLT11 HRK PLA2G6,release of cytochrome c from mitochondria,GO:0090200 (positive regulation of release of cytochrome c from mitochondria),
a9ffc83d-36dc-11ec-b3be-0ac135e8bacf,ENSG00000097033 ENSG00000197548 ENSG00000164938 ENSG00000136943 ENSG00000176171 ENSG00000111276 ENSG00000185896 ENSG00000128829 ENSG00000129355,CTSV ATG7 EIF2AK4 BNIP3 LAMP1 SH3GLB1 CDKN1B TP53INP1 CDKN2D,autophagic cell death,GO:0048102 (autophagic cell death),
MT Genes,ENSG00000210049 ENSG00000211459 ENSG00000210077 ENSG00000210082 ENSG00000209082 ENSG00000198888 ENSG00000210100 ENSG00000210107 ENSG00000210112 ENSG00000198763 ENSG00000210117 ENSG00000210127 ENSG00000210135 ENSG00000210140 ENSG00000210144 ENSG00000198804 ENSG00000210151 ENSG00000210154 ENSG00000198712 ENSG00000210156 ENSG00000228253 ENSG00000198899 ENSG00000198938 ENSG00000210164 ENSG00000198840 ENSG00000210174 ENSG00000212907 ENSG00000198886 ENSG00000210176 ENSG00000210184 ENSG00000210191 ENSG00000198786 ENSG00000198695 ENSG00000210194 ENSG00000198727 ENSG00000210195 ENSG00000210196,None,MT Genes,Mitochondrial Genes,
PHGDH interactors,ENSG00000142784 ENSG00000092621 ENSG00000178234 ENSG00000166233 ENSG00000049283 ENSG00000063245,WDTC1 PHGDH ARIH1 EPN1 EPN3 GALNT11 MCUMYADMS100A6SLC31A1,PHGDH interactors,Binds PHGDH in BioPlex,
