AD_1_02_1	AD_1_04_1	AD_1_08_1	AD_1_09_1	AD_1_11_1	AD_1_13_1	AD_2_01_1	AD_2_02_1	AD_2_03_1	AD_2_05_1	AD_2_07_1	AD_3_00_1	AD_3_01_1	AD_3_03_1	AD_3_05_1	AD_3_07_1	AD_4_10_1	AD_4_11_1	AD_4_12_1	AD_4_13_1	AD_5_09_1	AD_5_10_1	AD_5_11_1	AD_5_12_1	AD_5_13_1	AD_6_09_1	AD_6_10_1	AD_6_11_1	AD_6_12_1	AD_6_13_1	AD_7_06_1	AD_7_08_1	AD_7_09_1	AD_7_11_1	AD_7_12_1	AD_8_03_1	AD_8_05_1	AD_8_07_1	AD_8_09_1	AD_8_11_1	AD_8_12_1	AD_9_04_1	AD_9_06_1	AD_9_09_1	AD_10_04_1	AD_10_06_1	AD_10_09_1	AD_10_10_1	AD_11_02_1	AD_11_03_1	AD_11_04_1	AD_11_08_1	AD_11_10_1	AD_12_02_1	AD_12_03_1	AD_12_05_1	AD_12_07_1	AD_13_00_1	AD_13_03_1	AD_13_04_1	AD_13_06_1	AD_14_00_1	AD_14_01_1	AD_14_03_1	AD_14_05_1	AD_14_07_1	AD_14_10_1	AD_14_13_1	AD_14_14_1	AD_15_00_1	AD_15_01_1	AD_15_03_1	AD_15_04_1	AD_15_06_1	N_1_01_1	N_1_05_1	N_1_07_1	N_1_08_1	N_1_09_1	N_2_00_1	N_2_01_1	N_2_03_1	N_2_06_1	N_2_08_1	N_3_01_1	N_3_03_1	N_3_04_1	N_3_06_1	N_4_01_1	N_4_02_1	N_4_04_1	N_4_06_1	N_4_08_1	N_5_03_1	N_5_04_1	N_5_06_1	N_5_08_1	N_5_10_1	N_6_01_1	N_6_02_1	N_6_03_1	N_6_06_1	N_6_08_1	N_7_01_1	N_7_02_1	N_7_04_1	N_7_07_1	N_8_01_1	N_8_05_1	N_8_07_1	N_9_00_1	N_9_03_1	N_9_06_1	N_9_08_1	N_9_12_1
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	6	7	6	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	6	2	0	0	0	0	0	0	2	8	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	0	1	7	6	0	1	2	0	0	0	0	1	1	1	1	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0
