,term,symbols,count,name,ensemble
0,GO:0000002,"['OPA1', 'SLC25A4', 'TYMP', 'MEF2A', 'SLC25A36', 'SLC25A33', 'PIF1', 'AKT3']",8,mitochondrial genome maintenance,ENSG00000171612 ENSG00000117020 ENSG00000114120 ENSG00000198836 ENSG00000151729 ENSG00000140451 ENSG00000068305 ENSG00000025708
1,GO:0000003,"['GNRH2', 'MMP23B', 'LIN9']",3,reproduction,ENSG00000189409 ENSG00000183814 ENSG00000125787
2,GO:0000012,"['TNP1', 'LIG4', 'ERCC6', 'ERCC8', 'TERF2', 'APTX', 'APLF', 'SIRT1', 'TDP1']",9,single strand break repair,ENSG00000169621 ENSG00000118245 ENSG00000049167 ENSG00000137074 ENSG00000225830 ENSG00000096717 ENSG00000174405 ENSG00000042088 ENSG00000132604
4,GO:0000018,"['IL7R', 'KPNA2', 'KPNA1', 'TERF2', 'ALYREF', 'SMARCAD1']",6,regulation of DNA recombination,ENSG00000114030 ENSG00000163104 ENSG00000168685 ENSG00000132604 ENSG00000182481 ENSG00000183684
5,GO:0000019,"['ERCC2', 'MRE11', 'TERF2', 'RAD50']",4,regulation of mitotic recombination,ENSG00000113522 ENSG00000020922 ENSG00000132604 ENSG00000104884
7,GO:0000023,"['MGAM', 'GAA', 'GANC']",3,maltose metabolic process,ENSG00000257335 ENSG00000214013 ENSG00000171298
8,GO:0000027,"['RPLP0', 'RPL10', 'NOP2', 'RPL5', 'EIF6', 'RPL23A', 'RPL11', 'RPL24', 'RPL6', 'BOP1', 'RRS1', 'TRAF7', 'BRIX1', 'RPL10L', 'MRPL20', 'RPF2', 'PPAN-P2RY11', 'PPAN', 'MDN1', 'NLE1', 'NOP53', 'MRTO4']",22,ribosomal large subunit assembly,ENSG00000242485 ENSG00000053372 ENSG00000142676 ENSG00000122406 ENSG00000114391 ENSG00000113460 ENSG00000112159 ENSG00000197498 ENSG00000147403 ENSG00000179041 ENSG00000261236 ENSG00000111641 ENSG00000089009 ENSG00000089157 ENSG00000165496 ENSG00000131653 ENSG00000198242 ENSG00000073536 ENSG00000242372 ENSG00000243207 ENSG00000130810 ENSG00000105373
9,GO:0000028,"['ERAL1', 'RPSA', 'RPS19', 'RPS27', 'RPS5', 'RPS14', 'RPS15', 'RPS28', 'PWP2', 'RPS27L', 'MRPS7', 'RRP7A']",12,ribosomal small subunit assembly,ENSG00000177954 ENSG00000168028 ENSG00000164587 ENSG00000185088 ENSG00000132591 ENSG00000125445 ENSG00000115268 ENSG00000233927 ENSG00000105372 ENSG00000083845 ENSG00000189306 ENSG00000241945
10,GO:0000038,"['ACAA1', 'PEX2', 'ACSL1', 'ACOT2', 'PEX5', 'HSD17B4', 'CYP4F2', 'ACOT1', 'ACOT4', 'ACSBG1', 'ACOX2', 'CYP4F12', 'ACSL6', 'SLC27A6', 'SLC27A5']",15,very long-chain fatty acid metabolic process,ENSG00000060971 ENSG00000168306 ENSG00000151726 ENSG00000133835 ENSG00000113396 ENSG00000164398 ENSG00000164751 ENSG00000139197 ENSG00000184227 ENSG00000119673 ENSG00000177465 ENSG00000103740 ENSG00000186204 ENSG00000186115 ENSG00000083807
12,GO:0000045,"['RAB19', 'MAP1LC3B2', 'BECN2', 'AP4M1', 'GABARAP', 'ATG7', 'BAG3', 'CTSD', 'ATP2A2', 'PSEN1', 'RAB7A', 'GABARAPL2', 'RAB1A', 'UBXN2A', 'TCIRG1', 'UBXN2B', 'TMEM41B', 'ULK3', 'ATG14', 'RUFY4', 'STING1', 'STX12', 'RAB43', 'TP53INP2', 'ULK2', 'ATG16L2', 'RB1CC1', 'ATG4A', 'TP53INP1', 'ATG2B', 'ATG4C', 'VMP1', 'ATG101', 'EMC6', 'MAP1LC3C', 'AMBRA1', 'MAP1LC3B', 'RAB33B', 'GABARAPL1', 'ATG10', 'MAP1LC3A', 'SMURF1', 'ATG3', 'RAB23', 'UBQLN1', 'NSFL1C', 'TRAF6']",47,autophagosome assembly,ENSG00000117758 ENSG00000125703 ENSG00000196289 ENSG00000197769 ENSG00000173960 ENSG00000138069 ENSG00000188282 ENSG00000197548 ENSG00000144848 ENSG00000075785 ENSG00000172780 ENSG00000172007 ENSG00000152348 ENSG00000184584 ENSG00000112210 ENSG00000198742 ENSG00000221838 ENSG00000146955 ENSG00000101844 ENSG00000023287 ENSG00000215114 ENSG00000164938 ENSG00000135018 ENSG00000117984 ENSG00000166471 ENSG00000175104 ENSG00000110497 ENSG00000110719 ENSG00000168010 ENSG00000151929 ENSG00000139112 ENSG00000123395 ENSG00000174437 ENSG00000258102 ENSG00000126775 ENSG00000080815 ENSG00000066739 ENSG00000140474 ENSG00000034713 ENSG00000140941 ENSG00000127774 ENSG00000170296 ENSG00000083290 ENSG00000062716 ENSG00000088833 ENSG00000101460 ENSG00000078804
